address,balance
0xfcbc07905fee2d64025461b8ddb27f77f256827f,3820.2044786045312
0xf924ff0f192f0c7c073161e0d62ce7635114e74f,3812.581669774586
0xa0f780d46f103db59cfc5ffec8b25ffd36940ea7,3750.869323683277
0x9ac9c636404c8d46d9eb966d7179983ba5a3941a,3677.851857219388
0xdf8f53b9f83e611e1154402992c6f6cb7daf246c,3649.67257105386
0x57f540a736a647ef2d2ef9cd823c4a4e655858a4,3602.050105524104
0x8041748a2a16e9b7a3980107f4376774421642c8,3554.378126942582
0x8f942eced007bd3976927b7958b50df126feecb5,3500.0
0xd6f5646d9e7fbee7cc907eb8e12dafa5378431e6,3463.693031362682
0xefb49ddb9511180aeefd78da68ea4977fe02b0cb,3383.345081694733
0x701d0ecb3ba780de7b2b36789aec4493a426010a,3361.815916000085
0xad2dcb058f10b4e11611f9c1fc0aa1a532e270d6,3341.416707782569
0xf35960302a07022aba880dffaec2fdd64d5bf1c1,3300.0
0xf503017d7baf7fbc0fff7492b751025c6a78179b,3165.681555832828
0xcaaa39294a02bf3bf6a806d11d687e244ce56378,3114.803139840067
0x16e8d400ed871fb5e74a2db3c680838c9d383a26,3076.63
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,3000.0
0x92b0fd2bd1991b2bdbb1306a719bd45dbfa46768,3000.0
0xf2130236412b8f6ed7b19fb9ce6f3f4b8dc12867,2948.801255237
0xcb5fba4419abc4d7c11af0c24ba0f2e555407f5b,2925.6689682624697
0xf83775c95a00612d4cac5053dd484ffa81bae0ad,2913.0717829595383
0x72e1638bd8cd371bfb04cf665b749a0e4ae38324,2910.0
0xd602d991dc99f6632c9f1e587d93c3c8ce7220b6,2863.694092152441
0xf23ea0b5f14afcbe532a1df273f7b233ebe41c78,2824.173008629976
0x59ae7f21d18b2f5fdc7a99c4fd6dd9e67cec0bc9,2779.853163587538
0x9384eb57f892cce158c9ad5446d815cc7584d42b,2772.5074739881006
0x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,2759.1043410632174
0x2fe25372a45d024ade1adeb9dce29e4da1368b35,2675.7523471439736
0x00432996c5cf8200cf208200613aec2329be0e39,2650.0
0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,2627.995787229822
0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,2606.577065797222
0xed77a2406bb16f56a5dc5cc6d893f6500585a115,2544.2551970195777
0x65f1303c261e34b7b99f0136ccbd58dedf6cefe9,2522.4362
