wallet,balance,tea_flag
0x5658f4b362e95c0bc32d5ce0051457882db92ee5,2,1
0x08b3effe36e957bd50d82b8deb2328d5e78b6b4c,1,1
0xadadb15677164b5c266c733a8bcb002bb7ea57ff,1,1
0x9b9c0732cfecbd446eec92ba53dec31f2c9d88b1,4,1
0x17da42d4b6a875bff44d5c89e13e08c38e7ac36d,1,1
0xc2615ad6938235deb58aa48515727f1d0ce598e6,1,1
0xb2de5bfbfa82101c05be100b35b144b2957936e3,3,1
0xdc56eabdb4213c8ce1c86a4806e94d286d2ca4e6,1,1
0xbda4446d94d907fee2f6b7846a0320045a2e9949,3,1
0x58ba947570d2f9b79882c444170a30827000b33a,2,1
0x7b4985fbe4c5a24b082b671ee50f197760e3cb65,1,1
0x9240288086bc868fb98912b31b401d8942ed51bf,1,1
0x47f793e8af738f4b61d7e2d207c6d29c713d1a84,5,1
0xef8347476de8dca8639af6f065e96361cd656a3c,4,1
0x1e5e0982e0b81f041f4b2668e8e1f300682b6ffa,5,1
0x7137931f8e93928e835ec0946a8b78a8a8887900,5,1
0x26cee1c87b7910c42ac83a3b617c2932f13b9044,5,1
0xa770a33cbf2e97a0eaed41afabddb997661cc24a,5,1
0x7e1f8358943580724290277167b86ab4734752fe,4,1
0x45a337477fe38793d90db641eecf8c5c624f062a,1,1
0xa1facffe2171c76795f751bb96fdb7e6c60a3ffc,2,1
0xfeee0f97af25b988e10417b3988e7720772e584a,3,1
0xb9c62c6b68fa76bb5dad4279074ebdb6d72e3fec,5,1
0xf9278a270d2100ea5e76e8d85ac712b2cb7ec685,2,1
0xcd8e1e3a577049f4e138db9f46a46a7e7bf3535d,4,1
0x9ccebdb9c9871b0b8c18fe43f90760c83060bfba,5,1
0x336f3ca6cad963a70b8b64fade48c39a8de03b44,5,1
0xe5fd54988e8e6840af8dcc4534b52ef615027b23,2,1
0x4536bbf27aee5915821d790d72a96bf2cd58aaca,2,1
0x8a0c8ec9f6a42c3b8dc07565306ece2c376de34b,1,1
0xbac245c77a1301dfa2f542b720ad91b8d2cda4ed,1,1
0x75b41d90281f8dcc624067763d7281e3086acae9,3,1
0x826ab98b58cf43c30644fae1221dd641ec04811b,3,1
0x82f9be60fc43ce39bbe40df22039380935ff58c8,5,1
0x8d7544695d6abdb17891180f53cd821a27dbfff0,1,1
0x2408a5b5a0c0e47cbe8f3b8c92b4361958b371e4,5,1
0xe13a56f021d865c6f51e27e06a2793c1626ff747,1,1
0x3e31155a1c17c9f85e74828447aec412090a4622,5,1
0x77b175d193a19378031f4a81393fc0cbd5cf4079,2,1
0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,3,1
0x6c02ff3a875c1eed933860a9adff4288d41f5dd3,4,1
0x78390edbd4d560bcb3531d885058012041de24cb,5,1
0xb1a64cddc6398aa187c67b691b7c5f10828f42f5,2,1
0xf07deeb70080458e580be9a3678752e614f82406,1,1
0x163a11861351808d16ec5661249c541374ec8c20,1,1
0x579955b31fbdbff16a9760d5f5e869ba36431e2d,4,1
0x1309df760d05a7e9ba396d9a6f8dd4305c4d25bf,1,1
0x536299a4fcf0d1d492596c2c816fc20f3f7ec557,1,1
0x434f5325ddcdbbfcce64be2617c72c4aa33ec3e7,2,1
0x325173bc8c0f68ea1384de0377786ea3284cf2fb,5,1
0x11b064a8ac721ee4a706c07128433548b8d2151b,4,1
0xb78d439ba83baced629310207a215900e02d84a4,2,1
0x0e950e75b652878e6a3d3ecb6e5797452a918a05,5,1
