rank_number,address,balance,perc,cumulative_perc
138,0x9d5a0ec9dcab69075e4ff40b46813f6d952bbd65,1257.993596063645,0.0007537063351968,0.9470034924501038
139,0xb22981ba3fe1de2325935c91a3b717168fb86714,1250.0,0.0007489171025544,0.9477524095526584
140,0x706e714e63eabaa8602c209ecc92943655e0c7b8,1249.230518934167,0.0007484560805302,0.9485008656331886
141,0x4c8692cc08b14fa8b74b6f313394b8997aad721d,1242.0804941270494,0.0007441722598408,0.9492450378930296
142,0x81e80b838e04644a93e4f3c701038889d3a1b95e,1183.0,0.0007087751458575,0.949953813038887
143,0x6543c99d0e073c140fd08a741c6cfdcd1449da94,1171.9276365282517,0.0007021413199618,0.9506559543588488
144,0x9959dda625ba12809849f9b0f44e660c0f136733,1128.5060462094286,0.0006761259826739,0.9513320803415228
145,0x1e975f53956d644868f3ea25690b1bbeda658565,1123.9199386596804,0.0006733782911713,0.952005458632694
146,0xefa21088f3830cd7d9f526ea268f7aaba34f785f,1103.759144006936,0.0006612992800381,0.9526667579127324
147,0x2915f137dab849f0b27aaab4d0dbd67aaee3c5f0,1075.0,0.0006440687081968,0.9533108266209293
148,0x182312c44a219fd492f3ae177d11120a3ccd2ef3,1039.2947198901295,0.0006226764722562,0.9539335030931854
149,0xa8221b722b624651d48ebc881c4b6e9f17f4d03e,1036.1355251037314,0.0006207836922515,0.954554286785437
150,0x6636a1ccbdf54485067304c1a590de016dead9f0,1015.421455934557,0.0006083731957201,0.9551626599811572
151,0xb08f95dbc639621dbaf48a472ae8fce0f6f56a6e,1000.0,0.0005991336820435,0.9557617936632008
151,0x5b93ff82faaf241c15997ea3975419dddd8362c5,1000.0,0.0005991336820435,0.9563609273452442
151,0x204323a83506ca93ef23731894b450071541e9df,1000.0,0.0005991336820435,0.9569600610272878
151,0x37341cbb14c5f128a70b149726ad8b2ce6f4c793,1000.0,0.0005991336820435,0.9575591947093314
151,0xc5c4f3145b252407e25cfc92da0fb0bce2bc3310,1000.0,0.0005991336820435,0.9581583283913748
156,0xe95a7326b06a97bf30e348e4840c1b8de4dbedf8,999.5129872645568,0.0005988418963102,0.9587571702876851
157,0x4ae70efbc57df5f16fc5fa2ccf016887e6312afb,999.0,0.0005985345483615,0.9593557048360468
158,0x6576dcd9f751c99adb07411b22ddda0be7ffe420,996.09,0.0005967910693468,0.9599524959053936
159,0x6466386897a82cb8c96c8680631da7489f154004,936.5318859662176,0.0005611077971901,0.9605136037025838
160,0x4f8c531df3d97c6cd437ac8dfe756975445d1161,935.4065107,0.0005604335469632,0.961074037249547
