address,flag
0x0d1331af19df0110826aaec6f6ef7debf85bf107,1
0x8aac40061e258d6e45fd13e214710abdf356285a,1
0x3c63b262c54f45ba1ca8e127f14a2b93fdc826ca,1
0xec952ed8e7c2aa466cac36fd611d2e87df1243d7,1
0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1
0x34aa3f359a9d614239015126635ce7732c18fdf3,1
0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,1
0x2fee53687906ba239602ed42cceee2ac8a4ada36,1
0x1d8a08c8c3ce0a852cb4da902754991759f7f625,1
0x1026effae689c49f3655e74dc45c8869e3f6fd35,1
0x7f93e58a999d85879c2f051619f6879ba771f2bf,1
0x1baec9d58603f6eaeddbd66acc56db76215fc8d6,1
0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,1
0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,1
0x2723875bff110974e712019e4ab631dcac97910d,1
0xb20a327c9b4da091f454b1ce0e2e4dc5c128b5b4,1
0x224aba5d489675a7bd3ce07786fada466b46fa0f,1
0x536c7e8f18d09d04697e0d2624b44bba575388c2,1
0xc89ed88b54fd663b86ffd76f6ad2cda09d2ce13c,1
0xfcbc07905fee2d64025461b8ddb27f77f256827f,1
0xa0f780d46f103db59cfc5ffec8b25ffd36940ea7,1
0x9ac9c636404c8d46d9eb966d7179983ba5a3941a,1
0xdf8f53b9f83e611e1154402992c6f6cb7daf246c,1
0x29567bdbcc92acf37ac6b56b69180857bb69f7d1,1
0x57f540a736a647ef2d2ef9cd823c4a4e655858a4,1
0x8041748a2a16e9b7a3980107f4376774421642c8,1
0x8f942eced007bd3976927b7958b50df126feecb5,1
0xd6f5646d9e7fbee7cc907eb8e12dafa5378431e6,1
0xd3f8a83dd0f5c873be0973dbd67bf0d441ae49d0,1
0xefb49ddb9511180aeefd78da68ea4977fe02b0cb,1
0x701d0ecb3ba780de7b2b36789aec4493a426010a,1
0xad2dcb058f10b4e11611f9c1fc0aa1a532e270d6,1
0xf35960302a07022aba880dffaec2fdd64d5bf1c1,1
0xf503017d7baf7fbc0fff7492b751025c6a78179b,1
0xcaaa39294a02bf3bf6a806d11d687e244ce56378,1
0x5041a1c1dcc760337e99b03db60feaf5f6f6c802,1
0x16e8d400ed871fb5e74a2db3c680838c9d383a26,1
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,1
0x92b0fd2bd1991b2bdbb1306a719bd45dbfa46768,1
0xcb5fba4419abc4d7c11af0c24ba0f2e555407f5b,1
0xf83775c95a00612d4cac5053dd484ffa81bae0ad,1
0x72e1638bd8cd371bfb04cf665b749a0e4ae38324,1
0xd602d991dc99f6632c9f1e587d93c3c8ce7220b6,1
0xf23ea0b5f14afcbe532a1df273f7b233ebe41c78,1
0x59ae7f21d18b2f5fdc7a99c4fd6dd9e67cec0bc9,1
0x9384eb57f892cce158c9ad5446d815cc7584d42b,1
0x2fe25372a45d024ade1adeb9dce29e4da1368b35,1
0x00432996c5cf8200cf208200613aec2329be0e39,1
0x072e83cde5c102fdcf32be328034e1bb2dadcb01,1
0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,1
0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,1
0xed77a2406bb16f56a5dc5cc6d893f6500585a115,1
0xe73a198e7c07c418d7dcfd42f5e953074abbd125,1
0xf592ee0e3a20ddd65882e0fe6bfbb4b465a98ae4,1
0xa444987a5d2c45150399c5cec0c8bf719a6dea3e,1
0x2ce202ad36adb3b7515d2e6ec1395f55298dc230,1
0xa81fa36c51c95b52431038352d3d452c5de5e6e8,1
0x2920620b47d51170319a531a2d6d5810610e8c2a,1
0xcbc473f08a515cd8e612f63a254278879f1ed315,1
0x05d9eea07cf58f6ed205e4b5ca59a1c98114c459,1
