id,projectId,applicationId,voter,grantAddress,amount,amountUSD,coefficient,rawScore,balance_tec,tec_tokens_flag,balance_tea,tea_flag
0x39c10b59,0xa9bdf738,29,0xb08f0ca7,0x5041A1C1,2500000000000000.0,4.74004612,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0xc1b5db26,0xe8249a10,14,0xb08f0ca7,0x9b55D80A,2500000000000000.0,4.74004612,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0x55aa6025,0xec026845,16,0xb08f0ca7,0x45b79C6b,2500000000000000.0,4.74004612,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0xccfcc121,0x97589cd1,7,0xb08f0ca7,0x0035cC37,2500000000000000.0,4.74004612,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0x15ed0804,0x23387567,9,0xb08f0ca7,0xbbD107D7,3e+17,565.6513221,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0x6eac8abd,0xf1f4942d,24,0x364f0ad6,0x4f8c531d,5e+16,92.60197666,1.0,25.03,0.0,0.0,0.0,0.0
0x949a1590,0xdd9b885d,13,0x684ce401,0x75D923fB,6e+16,110.906553,1.0,15.75,0.0,0.0,0.0,0.0
0x64936c89,0x8d6f0c7b,3,0x4c9f98b5,0x808DB7C1,5700000000000000.0,10.46405221,1.0,15.75,0.0,0.0,0.0,0.0
0x3b9cd22c,0xdd9b885d,13,0xae6ef687,0x75D923fB,2e+16,36.61663932,1.0,40.48,0.0,0.0,0.0,0.0
0x811dfc8f,0x4cd41869,25,0xae6ef687,0xBEC643BD,2e+16,36.61663932,1.0,40.48,0.0,0.0,0.0,0.0
0xf72239dc,0xdd9b885d,13,0x109991e3,0x75D923fB,5e+17,936.5458611,1.0,19.5,0.0,0.0,0.0,0.0
0xb8f8e2aa,0xdd9b885d,13,0x434f5325,0x75D923fB,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0x966dbdd6,0x64a30a4b,19,0x434f5325,0xA26d6AEB,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0xcc332daa,0xec026845,16,0x434f5325,0x45b79C6b,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0xba4c1a3f,0x97589cd1,7,0x434f5325,0x0035cC37,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0x9181a3b2,0xf1f4942d,24,0x434f5325,0x4f8c531d,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
